,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,colt,cern.colt.matrix.linalg.Property,35,1,1.8,4,63,0
1,colt,cern.colt.matrix.DoubleMatrix2D,29,1,2.31,6,67,2
2,colt,cern.colt.matrix.linalg.Algebra,26,1,1.27,3,33,4
3,colt,hep.aida.IHistogram3D,24,1,1.38,2,33,7
4,colt,cern.colt.matrix.ObjectMatrix2D,23,1,2.52,6,58,2
5,colt,cern.colt.matrix.ObjectMatrix3D,22,1,2.55,6,56,2
6,colt,hep.aida.IHistogram2D,22,1,1.23,2,27,8
7,colt,cern.colt.matrix.ObjectMatrix1D,21,1,2.48,6,52,2
8,colt,cern.jet.stat.Probability,20,1,3.4,5,68,3
9,colt,cern.colt.Partitioning,17,1,4.35,26,74,2
10,colt,hep.aida.bin.QuantileBin1D,14,1,1.93,8,27,0
11,colt,cern.colt.Timer,13,1,1.31,2,17,1
12,colt,cern.jet.stat.quantile.Utils,2,1,1.0,1,2,0
