,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,weka,weka.core.Instances,91,1,2.05,6,187,0
1,weka,weka.core.matrix.Matrix,74,1,1.32,5,98,0
2,weka,weka.associations.Apriori,59,1,1.34,16,79,0
3,weka,weka.associations.FPGrowth,58,1,1.43,17,83,0
4,weka,weka.core.neighboursearch.CoverTree,54,1,1.8,6,97,0
5,weka,weka.core.Instance,51,1,2.0,4,102,4
6,weka,weka.core.pmml.Array,23,1,1.26,2,29,0
7,weka,weka.associations.FilteredAssociator,21,1,1.95,18,41,0
8,weka,weka.core.BinarySparseInstance,19,1,2.21,4,42,2
9,weka,weka.core.DenseInstance,17,1,2.0,4,34,2
10,weka,weka.core.xml.XMLSerializationMethodHandler,11,1,1.27,2,14,0
11,weka,weka.core.pmml.Expression,9,1,1.33,2,12,0
12,weka,weka.experiment.Stats,8,1,1.38,2,11,3
13,weka,weka.core.BatchPredictor,4,1,1.75,3,7,0
14,weka,weka.classifiers.trees.j48.InfoGainSplitCrit,4,1,1.0,1,4,0
15,weka,weka.core.pmml.Apply,4,1,1.75,2,7,0
16,weka,weka.associations.AssociationRulesProducer,3,1,2.0,3,6,0
17,weka,weka.classifiers.trees.j48.GainRatioSplitCrit,3,1,1.0,1,3,0
18,weka,weka.core.Copyable,1,2,2.0,2,2,0
