,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,jdk,java.lang.String,87,1,3.34,11,291,14
1,jdk,java.time.OffsetDateTime,80,1,4.41,20,353,6
2,jdk,java.lang.Math,75,1,4.6,19,345,35
3,jdk,java.awt.geom.AffineTransform,66,1,2.67,8,176,15
4,jdk,java.io.File,56,1,4.27,16,239,12
5,jdk,java.time.LocalTime,53,1,4.96,40,263,6
6,jdk,java.util.Vector,50,1,2.48,9,124,28
7,jdk,java.time.YearMonth,44,1,4.93,21,217,6
8,jdk,java.time.format.DateTimeFormatterBuilder,41,1,9.49,22,389,3
9,jdk,java.awt.Graphics2D,40,1,3.35,7,134,3
10,jdk,java.time.Instant,39,1,5.15,24,201,6
11,jdk,java.time.Year,39,1,5.13,19,200,6
12,jdk,java.lang.reflect.Field,34,1,2.41,16,82,0
13,jdk,java.time.MonthDay,29,1,3.97,9,115,0
14,jdk,java.util.List,28,1,3.07,9,86,9
15,jdk,java.lang.System,27,1,5.19,20,140,2
16,jdk,java.util.Deque,27,1,2.3,5,62,29
17,jdk,java.util.ArrayDeque,27,1,2.52,8,68,24
18,jdk,java.util.TimeZone,26,1,2.54,7,66,8
19,jdk,java.util.SimpleTimeZone,26,1,1.73,5,45,6
20,jdk,java.awt.print.PrinterJob,26,1,3.15,14,82,0
21,jdk,java.io.DataInputStream,19,1,2.95,10,56,10
22,jdk,java.time.chrono.IsoChronology,18,1,4.94,42,89,14
23,jdk,java.util.AbstractList,17,1,3.65,10,62,6
24,jdk,java.util.concurrent.LinkedBlockingDeque,17,1,2.88,8,49,14
25,jdk,java.lang.management.RuntimeMXBean,16,1,2.5,6,40,0
26,jdk,java.time.Clock,15,1,5.27,11,79,24
27,jdk,java.time.temporal.TemporalAdjusters,14,3,4.21,8,59,0
28,jdk,java.awt.Point,13,1,1.77,3,23,0
29,jdk,java.util.Currency,11,1,2.45,5,27,0
30,jdk,java.awt.image.VolatileImage,10,1,2.6,6,26,6
31,jdk,java.io.InputStream,9,3,7.56,15,68,9
32,jdk,java.time.temporal.Temporal,8,7,11.88,17,95,0
33,jdk,java.awt.image.WritableRenderedImage,8,1,2.25,4,18,0
34,jdk,java.util.Stack,6,1,1.5,3,9,2
35,jdk,java.lang.management.OperatingSystemMXBean,5,2,3.0,6,15,0
